No,Flight date,Dep time,Arr time,Transit Arr time,Transit Dep time,ExpectedId,Flight no.,Departure port,Departure country,Transit port,Transit country,Arrival port,Arrival country,Flight direction,First name,Last name,Date of birth,Sex,Passenger Type,Doc Type,Issue date,Expiry date,Nationality,Document no,Remark,Header time
11,25/7/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02207E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,K,BENJY,15/4/1996,Unspecified,Passenger,O,1/7/2015,30/7/2026,KOR,BJ18031532,เคสธรรมดา ไม่ติอ Risk S P O,4:50:00
12,25/7/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02207E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,L,BENJY,13/7/1991,Unspecified,Passenger,O,1/7/2015,30/7/2026,BOL,BJ18031533,เคสธรรมดา ไม่ติอ Risk S P O,4:50:00
13,25/7/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02207E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,M,BENJY,19/8/1992,Unknown,PositioningCrew,O,1/7/2015,30/7/2026,BOL,BJ18031534,เคสธรรมดา ไม่ติอ Risk U X O,4:50:00
14,25/7/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02207E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,N,BENJY,23/11/1994,Male,OperatingCrew,O,1/7/2015,30/7/2026,JPN,BJ18031535,เคสธรรมดา ไม่ติอ Risk M C O,4:50:00
15,25/7/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02207E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,O,BENJY,12/6/1995,Female,Passenger,O,1/7/2015,30/7/2026,JPN,BJ18031536,เคสธรรมดา ไม่ติอ Risk F P O,4:50:00
16,25/7/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02207E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,P,BENJY,20/7/1988,Unspecified,OperatingCrew,P,1/7/2015,30/7/2026,ATF,BJ18031537,เคสธรรมดา ไม่ติอ Risk S C P,4:50:00
17,7/6/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02206E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,Q,BENJY,13/5/1979,Unknown,PositioningCrew,O,1/7/2015,30/7/2026,ATF,BJ18031538,เคสธรรมดา ไม่ติอ Risk U X O,4:50:00
18,7/6/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02206E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,R,BENJY,12/12/1978,Male,Passenger,O,1/7/2015,30/7/2026,LAO,BJ18031539,เคสธรรมดา ไม่ติอ Risk M P O,4:50:00
19,7/6/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02206E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,S,BENJY,22/11/1978,Female,Passenger,P,1/7/2015,30/7/2026,JPN,BJ18031540,ยิงซ้ำ 5 F P P,4:50:00
20,7/6/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02206E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,T,BENJY,22/11/1978,Female,Passenger,P,1/7/2015,30/7/2026,JPN,BJ18031540,ยิงซ้ำ 5 F P P,4:50:00
21,7/6/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02206E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,U,BENJY,22/11/1978,Female,Passenger,P,1/7/2015,30/7/2026,JPN,BJ18031540,ยิงซ้ำ 5 F P P,4:50:00
22,7/6/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02206E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,V,BENJY,22/11/1978,Female,Passenger,P,1/7/2015,30/7/2026,JPN,BJ18031540,ยิงซ้ำ 5 F P P,4:50:00
23,7/6/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02206E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,WATCHLIST,BENJY,22/11/1978,Female,Passenger,P,1/7/2015,30/7/2026,JPN,BJ18031540,ยิงซ้ำ 5 F P P,4:50:00
24,7/6/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02206E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,X,UPAKIT,26/3/1986,Female,Passenger,P,12/3/2020,30/7/2026,THA,AA1212459,SL MFA F P P Override แต่ไม่ยิงซ้ำ,4:50:00
25,7/6/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02206E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,Y,SRISUK,19/9/2023,Female,Passenger,O,16/6/2013,30/7/2026,THA,AJ2241006,MFA F P O,4:50:00
26,7/6/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02206E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,Z,CHAICHANA,13/8/1980,Male,OperatingCrew,P,13/8/2013,30/7/2026,THA,AJ2241004,SL MFA M C P Override แต่ไม่ยิงซ้ำ,4:50:00
27,7/6/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02206E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,AB,THREE,3/2/1980,Female,Passenger,P,13/8/2013,20/6/2026,THA,CD123456,MFA M C O,4:50:00
28,7/6/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02206E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,AC,BENJYS,5/5/1995,Male,Passenger,P,3/1/2020,26/3/2026,ATF,BJ18031629,SL M P P Override,4:50:00
29,7/6/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02206E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,AD,BENJYS,5/5/1995,Male,Passenger,P,3/1/2020,26/3/2026,ATF,BJ18031629,SL M P P ยิงซ้ำ หลัง Override แล้ว,4:50:00
30,7/6/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02206E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,AE,BENJYB,4/4/1994,Female,Passenger,P,3/1/2019,26/3/2026,AUS,BJ18031633,BL F P P,4:50:00
31,7/6/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02206E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,AD,BENJYW,3/3/1993,Male,Passenger,P,1/4/2020,26/3/2026,GBR,BJ18031635,WL M P P,4:50:00
32,7/6/2022,5:00:00,23:30:00,12:00:00,18:00:00,2.02206E+12,TIM03,QUN,KR,BKK,TH,HKG,HK,Departure,AG,BENJYSBW,7/7/1997,Female,Passenger,P,1/2/2019,26/3/2026,KOR,BJ18031638,"SL,BL M P P Override (SL)",4:50:00
